Specimen ID,Data Source,Order,Family,Genus,Species,Voucher specimen,Specimen barcode,Collection date,Country of origin,Material sampled,No. of genes recovered,No. of bp recovered,Fasta file url
24839,SRA,Saxifragales,Hamamelidaceae,Sinowilsonia,Sinowilsonia henryi,,,,,,351,251484,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR5825989.Sinowilsonia_henryi.a353.fasta
24841,SRA,Boraginales,Boraginaceae,Nemophila,Nemophila menziesii,,,,,,325,164310,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR11994230.Nemophila_menziesii.a353.fasta
24843,SRA,Ericales,Lecythidaceae,Napoleonaea,Napoleonaea vogelii,,,,,,352,253884,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR12034802.Napoleonaea_vogelii.a353.fasta
24847,SRA,Fabales,Fabaceae,Microlobius,Microlobius foetidus,,,,,,351,263937,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR10179672.Microlobius_foetidus.a353.fasta
24849,SRA,Asparagales,Orchidaceae,Mexipedium,Mexipedium xerophyticum,,,,,,349,249534,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR6127592.Mexipedium_xerophyticum.a353.fasta
24851,SRA,Brassicales,Brassicaceae,Meniocus,Meniocus linifolius,,,,,,350,262614,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR11638362.Meniocus_linifolius.a353.fasta
24853,SRA,Gentianales,Gentianaceae,Megacodon,Megacodon stylophorus,,,,,,351,253863,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR11743765.Megacodon_stylophorus.a353.fasta
24855,SRA,Ericales,Marcgraviaceae,Marcgravia,Marcgravia polyantha,,,,,,338,154323,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR12014228.Marcgravia_polyantha.a353.fasta
24857,SRA,Santalales,Olacaceae,Malania,Malania oleifera,,,,,,353,260901,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR7725712.Malania_oleifera.a353.fasta
24859,SRA,Caryophyllales,Cactaceae,Maihuenia,Maihuenia poeppigii,,,,,,348,250209,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR7905849.Maihuenia_poeppigii.a353.fasta
24861,SRA,Poales,Juncaceae,Luzula,Luzula elegans,,,,,,349,202674,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR1278117.Luzula_elegans.a353.fasta
24863,SRA,Santalales,Loranthaceae,Loranthus,Loranthus tanakae,,,,,,343,230445,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR11994214.Loranthus_tanakae.a353.fasta
24867,SRA,Fagales,Fagaceae,Lithocarpus,Lithocarpus polystachyus,,,,,,345,240447,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.SRR10238506.Lithocarpus_polystachyus.a353.fasta
