Species,Order,Family,Genus,Fasta file url,Alternative url
Tainia speciosa,Asparagales,Orchidaceae,Tainia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034627.Tainia_speciosa.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5034627.Tainia_speciosa.a353.fasta
Cylicomorpha parviflora,Brassicales,Caricaceae,Cylicomorpha,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180126.Cylicomorpha_parviflora.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Brassicales/Caricaceae/INSDC.ERR4180126.Cylicomorpha_parviflora.a353.fasta
Xerorchis amazonica,Asparagales,Orchidaceae,Xerorchis,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006138.Xerorchis_amazonica.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006138.Xerorchis_amazonica.a353.fasta
Elatine hexandra,Malpighiales,Elatinaceae,Elatine,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180069.Elatine_hexandra.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malpighiales/Elatinaceae/INSDC.ERR4180069.Elatine_hexandra.a353.fasta
Pterostylis curta,Asparagales,Orchidaceae,Pterostylis,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006142.Pterostylis_curta.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006142.Pterostylis_curta.a353.fasta
Cymbidium aloifolium,Asparagales,Orchidaceae,Cymbidium,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006137.Cymbidium_aloifolium.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006137.Cymbidium_aloifolium.a353.fasta
Bletia parkinsonii,Asparagales,Orchidaceae,Bletia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006136.Bletia_parkinsonii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006136.Bletia_parkinsonii.a353.fasta
Thelymitra antennifera,Asparagales,Orchidaceae,Thelymitra,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006135.Thelymitra_antennifera.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006135.Thelymitra_antennifera.a353.fasta
Ecdeiocolea monostachya,Poales,Ecdeiocoleaceae,Ecdeiocolea,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180104.Ecdeiocolea_monostachya.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Poales/Ecdeiocoleaceae/INSDC.ERR4180104.Ecdeiocolea_monostachya.a353.fasta
Adrorhizon purpurascens,Asparagales,Orchidaceae,Adrorhizon,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006141.Adrorhizon_purpurascens.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006141.Adrorhizon_purpurascens.a353.fasta
Goupia glabra,Malpighiales,Goupiaceae,Goupia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180059.Goupia_glabra.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malpighiales/Goupiaceae/INSDC.ERR4180059.Goupia_glabra.a353.fasta
Nivenia stokoei,Asparagales,Iridaceae,Nivenia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180174.Nivenia_stokoei.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Iridaceae/INSDC.ERR4180174.Nivenia_stokoei.a353.fasta
Grubbia rosmarinifolia,Cornales,Grubbiaceae,Grubbia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180150.Grubbia_rosmarinifolia.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Cornales/Grubbiaceae/INSDC.ERR4180150.Grubbia_rosmarinifolia.a353.fasta
Warburgia salutaris,Canellales,Canellaceae,Warburgia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180155.Warburgia_salutaris.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Canellales/Canellaceae/INSDC.ERR4180155.Warburgia_salutaris.a353.fasta
Sladenia celastrifolia,Ericales,Sladeniaceae,Sladenia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180010.Sladenia_celastrifolia.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Ericales/Sladeniaceae/INSDC.ERR4180010.Sladenia_celastrifolia.a353.fasta
Comptonia peregrina,Fagales,Myricaceae,Comptonia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006139.Comptonia_peregrina.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Fagales/Myricaceae/INSDC.ERR5006139.Comptonia_peregrina.a353.fasta
Balanops vieillardii,Malpighiales,Balanopaceae,Balanops,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180205.Balanops_vieillardii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malpighiales/Balanopaceae/INSDC.ERR4180205.Balanops_vieillardii.a353.fasta
Cyphostemma mappia,Vitales,Vitaceae,Cyphostemma,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006164.Cyphostemma_mappia.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Vitales/Vitaceae/INSDC.ERR5006164.Cyphostemma_mappia.a353.fasta
Terminalia pulcherrima,Myrtales,Combretaceae,Terminalia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034632.Terminalia_pulcherrima.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Myrtales/Combretaceae/INSDC.ERR5034632.Terminalia_pulcherrima.a353.fasta
Sphenostemon pachycladus,Paracryphiales,Paracryphiaceae,Sphenostemon,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180121.Sphenostemon_pachycladus.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Paracryphiales/Paracryphiaceae/INSDC.ERR4180121.Sphenostemon_pachycladus.a353.fasta
Quintinia oreophila,Paracryphiales,Paracryphiaceae,Quintinia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006161.Quintinia_oreophila.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Paracryphiales/Paracryphiaceae/INSDC.ERR5006161.Quintinia_oreophila.a353.fasta
Polyosma spicata,Escalloniales,Escalloniaceae,Polyosma,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180169.Polyosma_spicata.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Escalloniales/Escalloniaceae/INSDC.ERR4180169.Polyosma_spicata.a353.fasta
Fritillaria maximowiczii,Liliales,Liliaceae,Fritillaria,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006160.Fritillaria_maximowiczii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Liliales/Liliaceae/INSDC.ERR5006160.Fritillaria_maximowiczii.a353.fasta
Flagellaria sp.,Poales,Flagellariaceae,Flagellaria,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180189.Flagellaria_sp.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Poales/Flagellariaceae/INSDC.ERR4180189.Flagellaria_sp.a353.fasta
Grielum grandiflorum,Malvales,Neuradaceae,Grielum,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180063.Grielum_grandiflorum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Malvales/Neuradaceae/INSDC.ERR4180063.Grielum_grandiflorum.a353.fasta
Petermannia cirrosa,Liliales,Petermanniaceae,Petermannia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180016.Petermannia_cirrosa.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Liliales/Petermanniaceae/INSDC.ERR4180016.Petermannia_cirrosa.a353.fasta
Disa uniflora,Asparagales,Orchidaceae,Disa,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006167.Disa_uniflora.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006167.Disa_uniflora.a353.fasta
Afrostyrax lepidophyllus,Oxalidales,Huaceae,Afrostyrax,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180082.Afrostyrax_lepidophyllus.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Oxalidales/Huaceae/INSDC.ERR4180082.Afrostyrax_lepidophyllus.a353.fasta
Thomandersia hensii,Lamiales,Thomandersiaceae,Thomandersia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180068.Thomandersia_hensii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Lamiales/Thomandersiaceae/INSDC.ERR4180068.Thomandersia_hensii.a353.fasta
Spiranthes spiralis,Asparagales,Orchidaceae,Spiranthes,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5033254.Spiranthes_spiralis.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5033254.Spiranthes_spiralis.a353.fasta
Aralia cordata,Apiales,Araliaceae,Aralia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006163.Aralia_cordata.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Apiales/Araliaceae/INSDC.ERR5006163.Aralia_cordata.a353.fasta
Darlingtonia californica,Ericales,Sarraceniaceae,Darlingtonia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006166.Darlingtonia_californica.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Ericales/Sarraceniaceae/INSDC.ERR5006166.Darlingtonia_californica.a353.fasta
Fritillaria davidii,Liliales,Liliaceae,Fritillaria,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006165.Fritillaria_davidii.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Liliales/Liliaceae/INSDC.ERR5006165.Fritillaria_davidii.a353.fasta
Diabelia spathulata,Dipsacales,Caprifoliaceae,Diabelia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180165.Diabelia_spathulata.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Dipsacales/Caprifoliaceae/INSDC.ERR4180165.Diabelia_spathulata.a353.fasta
Hedyosmum arborescens,Chloranthales,Chloranthaceae,Hedyosmum,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4179974.Hedyosmum_arborescens.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Chloranthales/Chloranthaceae/INSDC.ERR4179974.Hedyosmum_arborescens.a353.fasta
Cupaniopsis anacardioides,Sapindales,Sapindaceae,Cupaniopsis,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006157.Cupaniopsis_anacardioides.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Sapindaceae/INSDC.ERR5006157.Cupaniopsis_anacardioides.a353.fasta
Rapatea sp.,Poales,Rapateaceae,Rapatea,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180191.Rapatea_sp.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Poales/Rapateaceae/INSDC.ERR4180191.Rapatea_sp.a353.fasta
Apostasia nuda,Asparagales,Orchidaceae,Apostasia,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006156.Apostasia_nuda.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006156.Apostasia_nuda.a353.fasta
Loxodiscus coriaceus,Sapindales,Sapindaceae,Loxodiscus,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006155.Loxodiscus_coriaceus.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Sapindales/Sapindaceae/INSDC.ERR5006155.Loxodiscus_coriaceus.a353.fasta
Ticodendron incognitum,Fagales,Ticodendraceae,Ticodendron,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180075.Ticodendron_incognitum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Fagales/Ticodendraceae/INSDC.ERR4180075.Ticodendron_incognitum.a353.fasta
Zygopetalum maculatum,Asparagales,Orchidaceae,Zygopetalum,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5006132.Zygopetalum_maculatum.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5006132.Zygopetalum_maculatum.a353.fasta
Calanthe callosa,Asparagales,Orchidaceae,Calanthe,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR5034630.Calanthe_callosa.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Asparagales/Orchidaceae/INSDC.ERR5034630.Calanthe_callosa.a353.fasta
Medusandra sp.,Saxifragales,Peridiscaceae,Medusandra,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180193.Medusandra_sp.a353.fasta,http://life-bioinfo.tpddns.cn:8445/353ref/Saxifragales/Peridiscaceae/INSDC.ERR4180193.Medusandra_sp.a353.fasta
